event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
25359,1,0,511,-41.37438521,59.43460169,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25361,1,0,511,-72.36439472,24.8992234,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25362,1,0,511,-70.11596247,7.497274892,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25363,2,1,511,7.872652776,8.005874776,10000,0.007414093812,0.0009367202234,0.9999720765,laue_bfull_diffracted,BFullLaueBraggProcess
25364,2,1,511,-8.651654374,-4.881033599,10000,0.006806562811,0.002695271016,0.9999732027,laue_bfull_diffracted,BFullLaueBraggProcess
25368,1,0,511,-19.94316008,-70.19845598,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25369,2,1,511,-6.72239829,-4.798293205,10000,-0.0004657308236,0.007404421713,0.9999724784,laue_bfull_diffracted,BFullLaueBraggProcess
25370,1,0,511,24.10365329,-64.8227361,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25371,1,0,511,38.80784115,-67.92627226,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
25372,1,0,511,49.16421171,-47.45088455,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
